Desulfonispora thiosulfatigenes
Butyricimonas virosa
Alistipes putredinis
Ruminococcus champanellensis
Sporobacter termitidis
Parabacteroides johnsonii
Christensenella minuta
Ruminococcus flavefaciens
Desulfosporosinus orientis
Papillibacter cinnamivorans
Eubacterium sulci
Barnesiella viscericola
Ruminiclostridium thermocellum
Clostridium amylolyticum
Clostridium stercorarium
Anaerotruncus colihominis
Acholeplasma axanthum
Pseudoflavonifractor capillosus
Bacillus megaterium
Clostridium leptum
Akkermansia muciniphila
Anaerofustis stercorihominis
Ruminococcus albus
Clostridium symbiosum
Bacteroides pectinophilus
Clostridium asparagiforme
Flavonifractor plautii
Alistipes timonensis
Oscillibacter valericigenes
Eubacterium brachy
Sutterella parvirubra
Alistipes shahii
Coprobacillus cateniformis
Host age
Sex
