Sex
Host age
Acidaminococcus intestini
Akkermansia muciniphila
Alistipes finegoldii
Alistipes obesi
Alistipes onderdonkii
Alistipes putredinis
Alistipes shahii
Alistipes timonensis
Anaerotruncus colihominis
Bacteroides eggerthii
Bacteroides fragilis
Bacteroides intestinalis
Bacteroides massiliensis
Bacteroides ovatus
Bacteroides plebeius
Bacteroides salyersiae
Barnesiella viscericola
Bifidobacterium bifidum
Bifidobacterium pseudocatenulatum
Bilophila wadsworthia
Blautia glucerasea
Christensenella minuta
Collinsella aerofaciens
Coprobacillus cateniformis
Coprococcus eutactus
Eubacterium desmolans
Faecalibacterium sp. MC_41
Holdemanella biformis
Lactococcus lactis
Odoribacter splanchnicus
Oscillibacter valericigenes
Parabacteroides distasonis
Parabacteroides goldsteinii
Parabacteroides johnsonii
Parabacteroides merdae
Parasutterella excrementihominis
Prevotella bivia
Prevotella shahii
Roseburia hominis
Roseburia intestinalis
Ruminiclostridium thermocellum
Ruminococcus albus
Ruminococcus callidus
Ruminococcus champanellensis
Sporobacter termitidis
Streptococcus mitis
Streptococcus oralis
Sutterella parvirubra
Bacteroides pectinophilus
Clostridium bolteae
Clostridium indolis
Clostridium leptum
Clostridium methylpentosum
Clostridium spiroforme
Ruminococcus gnavus
